"Notes"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Caecum - Malignant neoplasms"	"C18.0"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Appendix - Malignant neoplasms"	"C18.1"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Ascending colon - Malignant neoplasms"	"C18.2"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Hepatic flexure - Malignant neoplasms"	"C18.3"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Transverse colon - Malignant neoplasms"	"C18.4"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Splenic flexure - Malignant neoplasms"	"C18.5"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Descending colon - Malignant neoplasms"	"C18.6"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Sigmoid colon - Malignant neoplasms"	"C18.7"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Overlapping lesion of colon - Malignant neoplasms"	"C18.8"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"1999"	"1999"	182	1340664	13.6
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2000"	"2000"	196	1354453	14.5
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2001"	"2001"	195	1380173	14.1
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2002"	"2002"	216	1395998	15.5
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2003"	"2003"	206	1413845	14.6
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2004"	"2004"	178	1429263	12.5
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2005"	"2005"	193	1446349	13.3
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2006"	"2006"	173	1467187	11.8
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2007"	"2007"	177	1486929	11.9
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2008"	"2008"	165	1507240	10.9
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2009"	"2009"	196	1526853	12.8
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2010"	"2010"	180	1539482	11.7
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2011"	"2011"	166	1560196	10.6
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2012"	"2012"	170	1580471	10.8
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2013"	"2013"	177	1602413	11.0
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2014"	"2014"	154	1627763	9.5
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2015"	"2015"	166	1653141	10.0
	"Colon, unspecified - Malignant neoplasms"	"C18.9"	"2016"	"2016"	154	1671143	9.2
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"1999"	"1999"	15	1340664	Unreliable
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2000"	"2000"	10	1354453	Unreliable
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2003"	"2003"	14	1413845	Unreliable
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2004"	"2004"	11	1429263	Unreliable
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2008"	"2008"	11	1507240	Unreliable
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2011"	"2011"	25	1560196	1.6
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2015"	"2015"	10	1653141	Unreliable
	"Malignant neoplasm of rectosigmoid junction"	"C19"	"2016"	"2016"	14	1671143	Unreliable
	"Malignant neoplasm of rectum"	"C20"	"1999"	"1999"	31	1340664	2.3
	"Malignant neoplasm of rectum"	"C20"	"2000"	"2000"	33	1354453	2.4
	"Malignant neoplasm of rectum"	"C20"	"2001"	"2001"	39	1380173	2.8
	"Malignant neoplasm of rectum"	"C20"	"2002"	"2002"	31	1395998	2.2
	"Malignant neoplasm of rectum"	"C20"	"2003"	"2003"	35	1413845	2.5
	"Malignant neoplasm of rectum"	"C20"	"2004"	"2004"	46	1429263	3.2
	"Malignant neoplasm of rectum"	"C20"	"2005"	"2005"	31	1446349	2.1
	"Malignant neoplasm of rectum"	"C20"	"2006"	"2006"	31	1467187	2.1
	"Malignant neoplasm of rectum"	"C20"	"2007"	"2007"	30	1486929	2.0
	"Malignant neoplasm of rectum"	"C20"	"2008"	"2008"	27	1507240	1.8
	"Malignant neoplasm of rectum"	"C20"	"2009"	"2009"	31	1526853	2.0
	"Malignant neoplasm of rectum"	"C20"	"2010"	"2010"	29	1539482	1.9
	"Malignant neoplasm of rectum"	"C20"	"2011"	"2011"	32	1560196	2.1
	"Malignant neoplasm of rectum"	"C20"	"2012"	"2012"	26	1580471	1.6
	"Malignant neoplasm of rectum"	"C20"	"2013"	"2013"	25	1602413	1.6
	"Malignant neoplasm of rectum"	"C20"	"2014"	"2014"	42	1627763	2.6
	"Malignant neoplasm of rectum"	"C20"	"2015"	"2015"	38	1653141	2.3
	"Malignant neoplasm of rectum"	"C20"	"2016"	"2016"	46	1671143	2.8
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Anus, unspecified - Malignant neoplasms"	"C21.0"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2005"	"2005"	Suppressed	1446349	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2006"	"2006"	Suppressed	1467187	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2007"	"2007"	Suppressed	1486929	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2008"	"2008"	Suppressed	1507240	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2009"	"2009"	Suppressed	1526853	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2010"	"2010"	Suppressed	1539482	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2011"	"2011"	Suppressed	1560196	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2012"	"2012"	Suppressed	1580471	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2013"	"2013"	Suppressed	1602413	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2014"	"2014"	Suppressed	1627763	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2015"	"2015"	Suppressed	1653141	Suppressed
	"Anal canal - Malignant neoplasms"	"C21.1"	"2016"	"2016"	Suppressed	1671143	Suppressed
	"Cloacogenic zone - Malignant neoplasms"	"C21.2"	"1999"	"1999"	Suppressed	1340664	Suppressed
	"Cloacogenic zone - Malignant neoplasms"	"C21.2"	"2000"	"2000"	Suppressed	1354453	Suppressed
	"Cloacogenic zone - Malignant neoplasms"	"C21.2"	"2001"	"2001"	Suppressed	1380173	Suppressed
	"Cloacogenic zone - Malignant neoplasms"	"C21.2"	"2002"	"2002"	Suppressed	1395998	Suppressed
	"Cloacogenic zone - Malignant neoplasms"	"C21.2"	"2003"	"2003"	Suppressed	1413845	Suppressed
	"Cloacogenic zone - Malignant neoplasms"	"C21.2"	"2004"	"2004"	Suppressed	1429263	Suppressed
	"Cloacogenic zone - Malignant neoplasms"	"C21.2"	"2005"	"2005"	Suppressed	1446349	Suppressed
