County,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,index
Gallia County,26,25.7,27.7,29.1,29.7,32.7,31.3,32,31.3,32.3,26
Geauga County,27.2,27.3,28,27.2,27.3,24.4,27.5,26.1,27.6,27,27
Greene County,25.9,25.6,26.6,28.6,29,29.9,26,25.1,28.5,31.3,28
Guernsey County,25,25.9,28.2,30.2,29.8,30.5,31.3,36.4,36.4,36.4,29
Hamilton County,25.4,25.4,26.3,26.6,26.9,27.1,28.4,28.9,28.9,29.2,30
Hancock County,25.5,26.8,29.9,29.8,29.9,30,31,31.4,30.2,31.4,31
Hardin County,24.7,25.5,27.8,29.6,30.2,31.1,31.6,31.9,34.2,35.2,32
Harrison County,25.1,25.9,28,30.2,30.3,32.1,29.9,28.5,29.4,30.3,33
Henry County,24.9,25.3,28,29.9,30.3,33.4,33,31.6,30.2,29.2,34
Highland County,26.6,26.2,27.3,28.8,29.2,32.2,32.9,33,33.7,32.1,35
Hocking County,26.4,26.4,28.6,30.3,31.3,34.5,31.8,30.5,34,37.5,36
Holmes County,24.5,25.1,26.3,28.1,28.6,30.7,29.1,26.6,28.2,31.2,37
Huron County,25.1,26.5,29.6,31,31.4,32.1,32.8,34.9,33.5,33.3,38
Jackson County,24.9,25.6,28.5,30.3,31.1,34.1,33.4,36.9,36.8,37.4,39
Jefferson County,26.5,26.6,28.8,30.8,32.2,36.5,36.1,33.3,33.6,36.6,40
Knox County,24.6,25.3,27.6,28.6,28.6,28.3,31.6,32.6,34.2,27.6,41
Lake County,22.7,23.6,26.7,28.4,29.8,28.9,28.3,24.9,26.4,26.7,42
Lawrence County,27.7,28.6,29.9,32.5,34.5,39.7,37.2,36.3,38.9,38.8,43
Licking County,26.1,25.7,28,30.1,30.2,32.3,30.4,30.9,29.3,31.4,44
Logan County,24.8,26.1,28,30.7,30.4,33,29.7,30.1,31.2,34.3,45
Lorain County,24.9,26,27.8,29,31,32.1,31.4,30.4,29.9,29.2,46
Lucas County,27.7,27.5,29.3,30,31,31.6,31.8,32.2,32.4,34.2,47
Madison County,25.1,25.2,27.2,28.7,29.4,31.4,30.7,31.2,28.6,29.6,48
Mahoning County,27,27.7,28.2,28.1,28.1,29.3,29.8,30.8,30.6,31.3,49
Marion County,27.3,27.1,28.8,30.3,29.4,31.8,32.2,34.2,33.9,35.8,50
