County,Number_Man,Percent_Men,Number_Women,Percent_Women
Adams County,3266,32.2,3092,29.2
Allen County,14690,38.5,14007,36.1
Ashland County,6019,32.3,5848,29.1
Ashtabula County,11782,31.7,10720,28.3
Athens County,8345,34.6,7554,31.5
Auglaize County,5590,34.6,5251,30.9
Belmont County,8754,31.9,8281,30.2
Brown County,6136,38,5798,34.9
Butler County,39861,31.4,38594,28.3
Carroll County,3227,30.4,2975,27.2
Champaign County,4923,35,4729,31.9
Clark County,16234,33.6,17544,32.8
Clermont County,19543,28.3,18422,25.1
Clinton County,4560,31.1,4477,28.4
Columbiana County,13479,33.1,12694,30.9
Coshocton County,4427,33.6,4158,29.8
Crawford County,5769,37,5923,34.8
Cuyahoga County,120250,27.2,138966,27.1
Darke County,6796,36.5,6704,33.8
Defiance County,4125,30,3910,26.8
Delaware County,16436,28.1,14317,23
Erie County,8191,29.1,8128,27
Fairfield County,16380,32.2,15888,29.7
Fayette County,3360,32.8,3280,29.9
Franklin County,122926,30.2,134853,30.4
Fulton County,4666,31.6,4617,29
Gallia County,3635,32.9,3498,29.8
Geauga County,9418,29.1,9023,26
Greene County,15924,27.6,15079,24.5
Guernsey County,4663,32.8,4589,30
Hamilton County,77554,28,89644,28.7
Hancock County,8520,32.4,8501,29.8
Hardin County,3703,33,3559,30.2
Harrison County,1834,31.2,1761,28.6
Henry County,3435,34.5,3302,31.6
Highland County,5224,34.4,5108,31.5
Hocking County,3566,33.3,3317,30.4
Holmes County,4040,30.9,3709,27.4
Huron County,6978,33.9,6974,31.8
Jackson County,4060,34.7,4042,32.1
Jefferson County,9716,38.3,9585,34.1
Knox County,7020,33.2,6900,30.2
Lake County,25374,30.5,23915,26.4
Lawrence County,8571,38.9,8660,35.7
Licking County,18867,32.6,17860,28.5
Logan County,5070,31.6,4769,27.9
Lorain County,35387,33,34090,29.9
Lucas County,48756,32,53405,31.7
Madison County,5805,32.1,4192,29.1
Mahoning County,27143,31.6,26811,28.2
Marion County,8909,33.7,7248,30.6
Medina County,18408,30.4,17298,26.9
Meigs County,3031,35,2876,31.6
Mercer County,4439,30.9,3992,27.3
Miami County,11755,32.3,11542,29.6
Monroe County,1841,33.2,1739,30.9
Montgomery County,58885,31.5,61992,29.4
Morgan County,1808,33.3,1784,31.1
Morrow County,3980,32.4,3723,29.4
Muskingum County,9162,30.6,9466,28.5
Noble County,2302,33.3,1416,30.3
Ottawa County,5658,36.3,5526,33.8
Paulding County,2148,30.9,2016,27.8
Perry County,4780,37.6,4658,35.8
Pickaway County,7589,34.9,5992,30.9
Pike County,3395,33.4,3306,30.9
Portage County,18340,31.5,17116,27.7
Preble County,5099,33.8,4939,31
Putnam County,3806,31.7,3492,28.2
Richland County,15325,32.8,13722,29.6
Ross County,10932,35,9322,33.8
Sandusky County,7732,35.6,7417,32.3
Scioto County,10579,36.8,10342,34.1
Seneca County,6418,31.6,5961,28.5
Shelby County,5707,33.4,5428,30.9
Stark County,43916,33.2,44614,30.4
Summit County,57565,30.1,60168,28.4
Trumbull County,25225,33.3,26334,31.8
Tuscarawas County,11163,33.8,10832,30.5
Union County,6140,36.3,6496,32.4
Van Wert County,3359,33.5,3416,31.6
Vinton County,1524,31.6,1421,28.9
Warren County,21231,28.4,18088,24
Washington County,7735,34.2,7418,30.3
Wayne County,12915,32.5,12035,28.6
Williams County,4338,31.8,3983,28.3
Wood County,13869,31.1,13443,28.2
Wyandot County,2513,31.2,2362,27.7
