County,Number_Man,Percent_Men,Number_Women,Percent_Women
Adams County,3228,31.9,3186,30.2
Allen County,13719,35.6,13679,35.2
Ashland County,5491,29.2,5375,26.7
Ashtabula County,12932,34.6,12158,32.4
Athens County,6950,28.8,6646,27.8
Auglaize County,5900,35.8,5742,33.5
Belmont County,9578,34.6,8779,32.3
Brown County,5548,34.4,5517,33.1
Butler County,44220,34.2,43608,31.5
Carroll County,3778,35.5,3689,34
Champaign County,5362,37.8,5377,36.2
Clark County,15559,32.1,16494,30.9
Clermont County,21977,30.9,22466,29.7
Clinton County,5112,34.6,5363,34
Columbiana County,13700,33.6,13183,32.4
Coshocton County,4694,35.4,4674,33.2
Crawford County,5028,32.5,5292,31.5
Cuyahoga County,125491,28.2,161085,31.5
Darke County,6196,33.2,6221,31.5
Defiance County,4639,33.7,4676,32.3
Delaware County,19001,30.4,17267,26.1
Erie County,9989,35.5,10620,35.2
Fairfield County,18080,34,17243,31.3
Fayette County,3549,34.5,3572,32.4
Franklin County,120639,28.2,144478,31.1
Fulton County,5478,36.6,5891,36.9
Gallia County,3590,32.7,3740,31.9
Geauga County,9566,28.7,8922,25.3
Greene County,18974,31.8,19399,30.7
Guernsey County,5261,36.6,5533,36.2
Hamilton County,79084,28.2,94426,30
Hancock County,8740,32.1,8939,30.8
Hardin County,3945,35.4,4109,35
Harrison County,1843,31.3,1803,29.3
Henry County,3134,31.1,2911,27.4
Highland County,5085,33.2,5084,31.1
Hocking County,3895,37.4,4084,37.5
Holmes County,4400,32.1,4267,30.3
Huron County,7085,34.1,7121,32.6
Jackson County,4359,37.3,4692,37.4
Jefferson County,9233,36.7,10045,36.5
Knox County,6237,29.1,6025,26.3
Lake County,23748,28.1,23180,25.4
Lawrence County,8742,39.2,9336,38.5
Licking County,19091,32.1,19680,30.7
Logan County,5630,34.8,5841,33.9
Lorain County,33113,30.3,32523,28
Lucas County,52295,34,58058,34.3
Madison County,5523,30.4,4215,28.6
Mahoning County,28116,32.6,28290,30.1
Marion County,9785,36.2,8323,35.3
Medina County,18973,30.2,18549,28
Meigs County,3046,35,3061,33.6
Mercer County,4213,29,3962,26.7
Miami County,13110,35.1,13180,33.2
Monroe County,2050,36.7,2091,37
Montgomery County,60537,32.1,72850,34.4
Morgan County,2057,37.3,2080,36
Morrow County,4699,37.2,4753,36.6
Muskingum County,9399,31,10433,31.3
Noble County,2396,34.3,1485,32.1
Ottawa County,4996,31.6,4829,29.5
Paulding County,2171,31.2,2036,28.5
Perry County,4790,37,4740,35.7
Pickaway County,7831,34.9,6556,33
Pike County,3690,36.3,3798,35.3
Portage County,17688,29.8,17732,28.3
Preble County,4537,29.9,4553,28.7
Putnam County,4455,36.8,4185,33.7
Richland County,16063,34.4,14353,31.3
Ross County,10679,34.6,9078,32.6
Sandusky County,7711,35.5,7271,31.6
Scioto County,10632,37.1,11133,36.9
Seneca County,7313,36,7130,34.2
Shelby County,5632,32.6,5478,31
Stark County,41898,31.1,44764,30.2
Summit County,61321,31.5,64871,30.2
Trumbull County,24866,32.8,26759,32.5
Tuscarawas County,12075,35.9,12177,34
Union County,6237,35.3,6843,33.3
Van Wert County,3881,38.2,4110,37.6
Vinton County,1710,34.8,1615,32.4
Warren County,24018,30.8,22988,29.1
Washington County,7977,34.9,8448,34.6
Wayne County,12810,31.6,12401,29.1
Williams County,5145,37.3,4880,34.5
Wood County,15344,33,14089,28.8
Wyandot County,3001,37,2979,34.8
