County,Number_Man,Percent_Men,Number_Women,Percent_Women
Adams County,3129,30.7,3026,28.6
Allen County,14473,37.6,13923,35.9
Ashland County,5894,31.5,5749,28.6
Ashtabula County,12524,33.6,11489,30.3
Athens County,7513,31.2,6809,28.6
Auglaize County,5797,35.8,5538,32.5
Belmont County,9251,33.5,8343,30.5
Brown County,6134,38.1,5924,35.6
Butler County,39362,30.8,38469,28
Carroll County,3548,33.1,3351,30.4
Champaign County,5089,36.1,4919,33.1
Clark County,14742,30.5,15939,29.8
Clermont County,20159,28.9,19824,26.8
Clinton County,4995,33.9,5203,33
Columbiana County,13573,33.3,12868,31.4
Coshocton County,4533,34.2,4413,31.5
Crawford County,5618,36.2,5832,34.5
Cuyahoga County,124460,28.2,142044,27.8
Darke County,6484,34.8,6464,32.6
Defiance County,4527,32.9,4350,29.8
Delaware County,17111,28.7,15536,24.4
Erie County,8492,30.4,8610,28.6
Fairfield County,16423,31.8,15966,29.4
Fayette County,3350,32.8,3328,30.3
Franklin County,118630,28.7,136293,30.3
Fulton County,4650,31.4,4615,29
Gallia County,3649,33,3639,31
Geauga County,8957,27.5,8618,24.7
Greene County,15412,26.3,14904,23.9
Guernsey County,5205,36.5,5559,36.4
Hamilton County,79469,28.7,90765,29.1
Hancock County,8539,32.1,8846,30.7
Hardin County,3703,33,3625,30.9
Harrison County,1749,29.8,1679,27.3
Henry County,3372,33.6,3143,29.8
Highland County,5190,34,5239,32
Hocking County,3442,31.8,3215,29.2
Holmes County,3734,28.1,3451,25.1
Huron County,7394,35.8,7475,34.1
Jackson County,4453,38,4513,35.8
Jefferson County,8794,34.8,8955,32.1
Knox County,7217,33.8,7207,31.4
Lake County,22237,26.6,21250,23.4
Lawrence County,8508,38.3,8393,34.5
Licking County,19007,32.5,18643,29.5
Logan County,5125,32,4844,28.3
Lorain County,34338,31.8,33237,29
Lucas County,49901,32.6,53995,31.9
Madison County,5767,32.3,4328,29.9
Mahoning County,28318,32.9,27306,28.9
Marion County,9556,35.6,7743,32.6
Medina County,17963,29.3,16970,26.1
Meigs County,3250,37.3,3202,35.1
Mercer County,4263,29.6,3936,26.8
Miami County,11963,32.6,11770,30
Monroe County,1955,34.9,1905,33.5
Montgomery County,57884,30.9,62995,29.9
Morgan County,1781,32.4,1726,29.9
Morrow County,4355,35.2,4186,32.5
Muskingum County,9788,32.5,10619,31.8
Noble County,2388,34.4,1492,31.9
Ottawa County,5375,34.2,5131,31.2
Paulding County,2112,30.5,1998,27.6
Perry County,4774,37.2,4660,35.3
Pickaway County,8043,36.7,6462,32.9
Pike County,3393,33.3,3399,31.6
Portage County,17748,30.3,16737,26.9
Preble County,4825,31.9,4678,29.4
Putnam County,3990,33,3601,29.1
Richland County,16760,35.9,14373,31.2
Ross County,11282,36.5,9680,34.9
Sandusky County,7954,36.7,7552,32.9
Scioto County,10882,37.7,10873,35.8
Seneca County,6900,33.9,6413,30.7
Shelby County,5744,33.6,5526,31.3
Stark County,42331,31.9,44206,30.1
Summit County,55007,28.6,58226,27.4
Trumbull County,26358,34.8,28211,34.1
Tuscarawas County,12301,37,12061,33.9
Union County,6078,35.4,6560,32
Van Wert County,3699,36.6,3802,34.9
Vinton County,1555,32.2,1423,28.7
Warren County,21302,28.1,18806,24.5
Washington County,7860,34.7,7705,31.5
Wayne County,12173,30.4,11518,27.2
Williams County,4461,32.6,4147,29.3
Wood County,14169,31.4,12940,26.9
Wyandot County,2896,35.9,2814,32.7
