State,Year,Deaths,Population,Percent,Rate
Rhode Island,2009,147,1053646,0.000139516,13.95
Rhode Island,2010,161,1052567,0.000152959,15.30
Rhode Island,2011,193,1051856,0.000183485,18.35
Rhode Island,2012,202,1052393,0.000191944,19.19
Rhode Island,2013,226,1052856,0.000214654,21.47
Rhode Island,2014,251,1054907,0.000237936,23.79
Rhode Island,2015,307,1056298,0.000290638,29.06
Vermont,1999,14,604683,2.32E-05,2.32
Vermont,2000,26,608827,4.27E-05,4.27
Vermont,2001,30,612223,4.90E-05,4.90
Vermont,2002,34,615442,5.52E-05,5.52
Vermont,2003,51,617858,8.25E-05,8.25
Vermont,2004,37,619920,5.97E-05,5.97
Vermont,2005,38,621215,6.12E-05,6.12
Vermont,2006,59,622892,9.47E-05,9.47
Vermont,2007,46,623481,7.38E-05,7.38
Vermont,2008,61,624151,9.77E-05,9.77
Vermont,2009,45,624817,7.20E-05,7.20
Vermont,2010,39,625741,6.23E-05,6.23
Vermont,2011,61,626687,9.73E-05,9.73
Vermont,2012,51,626398,8.14E-05,8.14
Vermont,2013,71,627129,0.000113214,11.32
Vermont,2014,67,626767,0.000106898,10.69
Vermont,2015,86,626042,0.000137371,13.74
New Jersey,1999,453,8359592,5.42E-05,5.42
New Jersey,2000,526,8414350,6.25E-05,6.25
New Jersey,2001,577,8492671,6.79E-05,6.79
New Jersey,2002,703,8552643,8.22E-05,8.22
New Jersey,2003,623,8601402,7.24E-05,7.24
New Jersey,2004,520,8634561,6.02E-05,6.02
New Jersey,2005,728,8651974,8.41E-05,8.41
New Jersey,2006,758,8661679,8.75E-05,8.75
New Jersey,2007,662,8677885,7.63E-05,7.63
New Jersey,2008,706,8711090,8.10E-05,8.10
New Jersey,2009,253,8755602,2.89E-05,2.89
New Jersey,2010,821,8791894,9.34E-05,9.34
New Jersey,2011,971,8842934,0.000109805,10.98
New Jersey,2012,1146,8874893,0.000129128,12.91
New Jersey,2013,1252,8907384,0.000140558,14.06
New Jersey,2014,1192,8938844,0.000133351,13.34
New Jersey,2015,1405,8958013,0.000156843,15.68
New York,1999,850,18882725,4.50E-05,4.50
New York,2000,674,18976457,3.55E-05,3.55
New York,2001,939,19082838,4.92E-05,4.92
New York,2002,802,19137800,4.19E-05,4.19
New York,2003,883,19175939,4.60E-05,4.60
New York,2004,754,19171567,3.93E-05,3.93
New York,2005,846,19132610,4.42E-05,4.42
New York,2006,1391,19104631,7.28E-05,7.28
New York,2007,1379,19132335,7.21E-05,7.21
New York,2008,1473,19212436,7.67E-05,7.67
New York,2009,1385,19307066,7.17E-05,7.17
New York,2010,1374,19378102,7.09E-05,7.09
New York,2011,1733,19523202,8.88E-05,8.88
New York,2012,1936,19606981,9.87E-05,9.87
New York,2013,2069,19691032,0.000105073,10.51
New York,2014,2098,19748858,0.000106234,10.62
New York,2015,2539,19795791,0.00012826,12.83
Pennsylvania,1999,755,12263805,6.16E-05,6.16
Pennsylvania,2000,958,12281054,7.80E-05,7.80
Pennsylvania,2001,817,12298970,6.64E-05,6.64
Pennsylvania,2002,968,12331031,7.85E-05,7.85
Pennsylvania,2003,1208,12374658,9.76E-05,9.76
Pennsylvania,2004,1348,12410722,0.000108616,10.86
Pennsylvania,2005,1438,12449990,0.000115502,11.55
Pennsylvania,2006,1425,12510809,0.000113902,11.39
Pennsylvania,2007,1566,12563937,0.000124642,12.46
Pennsylvania,2008,1656,12612285,0.000131301,13.13
Pennsylvania,2009,1686,12666858,0.000133103,13.31
Pennsylvania,2010,1707,12702379,0.000134384,13.44
Pennsylvania,2011,2080,12745202,0.000163199,16.32
Pennsylvania,2012,2182,12772789,0.000170832,17.08
Pennsylvania,2013,2228,12783536,0.000174287,17.43
Pennsylvania,2014,2560,12793767,0.000200097,20.01
Pennsylvania,2015,3070,12802503,0.000239797,23.98
Illinois,1999,733,12359020,5.93E-05,5.93
Illinois,2000,788,12419293,6.34E-05,6.34
Illinois,2001,767,12488445,6.14E-05,6.14
Illinois,2002,860,12525556,6.87E-05,6.87
Illinois,2003,741,12556006,5.90E-05,5.90
Illinois,2004,913,12589773,7.25E-05,7.25
Illinois,2005,970,12609903,7.69E-05,7.69
Illinois,2006,1256,12643955,9.93E-05,9.93
Illinois,2007,1094,12695866,8.62E-05,8.62
Illinois,2008,1208,12747038,9.48E-05,9.48
Illinois,2009,1229,12796778,9.60E-05,9.60
Illinois,2010,1153,12830632,8.99E-05,8.99
Illinois,2011,1282,12861882,9.97E-05,9.97
Illinois,2012,1482,12875167,0.000115105,11.51
Illinois,2013,1430,12889580,0.000110942,11.09
Illinois,2014,1561,12882189,0.000121175,12.12
Illinois,2015,1703,12859995,0.000132426,13.24
Indiana,1999,124,6044969,2.05E-05,2.05
Indiana,2000,149,6080485,2.45E-05,2.45
Indiana,2001,169,6127760,2.76E-05,2.76
Indiana,2002,174,6155967,2.83E-05,2.83
Indiana,2003,275,6196638,4.44E-05,4.44
Indiana,2004,344,6233007,5.52E-05,5.52
Indiana,2005,397,6278616,6.32E-05,6.32
Indiana,2006,475,6332669,7.50E-05,7.50
Indiana,2007,560,6379599,8.78E-05,8.78
Indiana,2008,593,6424806,9.23E-05,9.23
Indiana,2009,790,6459325,0.000122304,12.23
Indiana,2010,713,6483802,0.000109966,11.00
Indiana,2011,808,6516845,0.000123986,12.40
Indiana,2012,837,6538283,0.000128015,12.80
Indiana,2013,919,6570518,0.000139867,13.99
Indiana,2014,1040,6597880,0.000157626,15.76
Indiana,2015,1151,6619680,0.000173875,17.39
Michigan,1999,293,9897116,2.96E-05,2.96
Michigan,2000,316,9938444,3.18E-05,3.18
Michigan,2001,346,9991120,3.46E-05,3.46
Michigan,2002,435,10015710,4.34E-05,4.34
Michigan,2003,423,10041152,4.21E-05,4.21
Michigan,2004,527,10055315,5.24E-05,5.24
Michigan,2005,685,10051137,6.82E-05,6.82
Michigan,2006,857,10036081,8.54E-05,8.54
Michigan,2007,922,10001284,9.22E-05,9.22
Michigan,2008,949,9946889,9.54E-05,9.54
Michigan,2009,1091,9901591,0.000110184,11.02
Michigan,2010,1060,9883640,0.000107248,10.72
Michigan,2011,1115,9876589,0.000112893,11.29
Michigan,2012,1039,9886879,0.000105089,10.51
Michigan,2013,1305,9900506,0.000131811,13.18
Michigan,2014,1447,9916306,0.000145921,14.59
Michigan,2015,1696,9922576,0.000170923,17.09
Ohio,1999,360,11335454,3.18E-05,3.18
Ohio,2000,443,11353140,3.90E-05,3.90
Ohio,2001,599,11387404,5.26E-05,5.26
Ohio,2002,755,11407889,6.62E-05,6.62
Ohio,2003,650,11434788,5.68E-05,5.68
Ohio,2004,961,11452251,8.39E-05,8.39
Ohio,2005,1063,11463320,9.27E-05,9.27
Ohio,2006,1318,11481213,0.000114796,11.48
Ohio,2007,1473,11500468,0.000128082,12.81
Ohio,2008,1576,11515391,0.00013686,13.69
Ohio,2009,1094,11528896,9.49E-05,9.49
Ohio,2010,1678,11536504,0.000145451,14.55
Ohio,2011,1882,11545442,0.000163008,16.30
Ohio,2012,2011,11551783,0.000174086,17.41
Ohio,2013,2192,11572232,0.000189419,18.94
Ohio,2014,2640,11596998,0.000227645,22.76
Ohio,2015,3171,11613423,0.000273046,27.30
Wisconsin,1999,141,5332666,2.64E-05,2.64
Wisconsin,2000,189,5363675,3.52E-05,3.52
Wisconsin,2001,195,5406835,3.61E-05,3.61
Wisconsin,2002,271,5445162,4.98E-05,4.98
Wisconsin,2003,298,5479203,5.44E-05,5.44
Wisconsin,2004,320,5514026,5.80E-05,5.80
Wisconsin,2005,399,5546166,7.19E-05,7.19
Wisconsin,2006,461,5577655,8.27E-05,8.27
Wisconsin,2007,538,5610775,9.59E-05,9.59
Wisconsin,2008,491,5640996,8.70E-05,8.70
Wisconsin,2009,516,5669264,9.10E-05,9.10
Wisconsin,2010,511,5686986,8.99E-05,8.99
Wisconsin,2011,594,5709720,0.000104033,10.40
Wisconsin,2012,610,5726422,0.000106524,10.65
Wisconsin,2013,764,5743653,0.000133016,13.30
Wisconsin,2014,761,5759432,0.000132131,13.21
Wisconsin,2015,785,5771337,0.000136017,13.60
Iowa,1999,38,2917634,1.30E-05,1.30
Iowa,2000,55,2926324,1.88E-05,1.88
Iowa,2001,56,2931997,1.91E-05,1.91
Iowa,2002,68,2934234,2.32E-05,2.32
Iowa,2003,81,2941999,2.75E-05,2.75
Iowa,2004,71,2953635,2.40E-05,2.40
Iowa,2005,102,2964454,3.44E-05,3.44
Iowa,2006,125,2982644,4.19E-05,4.19
Iowa,2007,141,2999212,4.70E-05,4.70
Iowa,2008,162,3016734,5.37E-05,5.37
Iowa,2009,169,3032870,5.57E-05,5.57
Iowa,2010,205,3046355,6.73E-05,6.73
Iowa,2011,201,3065389,6.56E-05,6.56
Iowa,2012,220,3076636,7.15E-05,7.15
Iowa,2013,262,3092224,8.47E-05,8.47
Iowa,2014,253,3109481,8.14E-05,8.14
Iowa,2015,286,3123899,9.16E-05,9.16
Kansas,1999,67,2678338,2.50E-05,2.50
Kansas,2000,76,2688418,2.83E-05,2.83
Kansas,2001,111,2702162,4.11E-05,4.11
Kansas,2002,118,2713535,4.35E-05,4.35
Kansas,2003,126,2723004,4.63E-05,4.63
Kansas,2004,165,2734373,6.03E-05,6.03
Kansas,2005,179,2745299,6.52E-05,6.52
Kansas,2006,187,2762931,6.77E-05,6.77
Kansas,2007,197,2783785,7.08E-05,7.08
Kansas,2008,196,2808076,6.98E-05,6.98
Kansas,2009,260,2832704,9.18E-05,9.18
Kansas,2010,217,2853118,7.61E-05,7.61
Kansas,2011,238,2869917,8.29E-05,8.29
Kansas,2012,269,2886281,9.32E-05,9.32
Kansas,2013,300,2894630,0.00010364,10.36
Kansas,2014,305,2902507,0.000105082,10.51
Kansas,2015,291,2911641,9.99E-05,9.99
Minnesota,1999,102,4873481,2.09E-05,2.09
Minnesota,2000,101,4919479,2.05E-05,2.05
Minnesota,2001,133,4982796,2.67E-05,2.67
Minnesota,2002,167,5018935,3.33E-05,3.33
Minnesota,2003,183,5053572,3.62E-05,3.62
Minnesota,2004,192,5087713,3.77E-05,3.77
Minnesota,2005,205,5119598,4.00E-05,4.00
Minnesota,2006,231,5163555,4.47E-05,4.47
Minnesota,2007,283,5207203,5.43E-05,5.43
Minnesota,2008,335,5247018,6.38E-05,6.38
Minnesota,2009,379,5281203,7.18E-05,7.18
Minnesota,2010,353,5303925,6.66E-05,6.66
Minnesota,2011,477,5348119,8.92E-05,8.92
Minnesota,2012,457,5380443,8.49E-05,8.49
Minnesota,2013,487,5420541,8.98E-05,8.98
Minnesota,2014,490,5457125,8.98E-05,8.98
Minnesota,2015,548,5489594,9.98E-05,9.98
Missouri,1999,198,5561948,3.56E-05,3.56
Missouri,2000,237,5595211,4.24E-05,4.24
Missouri,2001,246,5641142,4.36E-05,4.36
Missouri,2002,341,5674825,6.01E-05,6.01
Missouri,2003,414,5709403,7.25E-05,7.25
Missouri,2004,450,5747741,7.83E-05,7.83
Missouri,2005,493,5790300,8.51E-05,8.51
Missouri,2006,618,5842704,0.000105773,10.58
Missouri,2007,609,5887612,0.000103438,10.34
Missouri,2008,688,5923916,0.000116139,11.61
Missouri,2009,762,5961088,0.000127829,12.78
Missouri,2010,886,5988927,0.00014794,14.79
Missouri,2011,850,6010587,0.000141417,14.14
Missouri,2012,834,6025468,0.000138412,13.84
Missouri,2013,904,6043708,0.000149577,14.96
Missouri,2014,959,6063827,0.000158151,15.82
Missouri,2015,933,6083672,0.000153361,15.34
Nebraska,1999,33,1704764,1.94E-05,1.94
Nebraska,2000,40,1711263,2.34E-05,2.34
Nebraska,2001,39,1719836,2.27E-05,2.27
Nebraska,2002,36,1728292,2.08E-05,2.08
Nebraska,2003,35,1738643,2.01E-05,2.01
Nebraska,2004,46,1749370,2.63E-05,2.63
Nebraska,2005,51,1761497,2.90E-05,2.90
Nebraska,2006,67,1772693,3.78E-05,3.78
Nebraska,2007,68,1783440,3.81E-05,3.81
Nebraska,2008,98,1796378,5.46E-05,5.46
Nebraska,2009,99,1812683,5.46E-05,5.46
Nebraska,2010,102,1826341,5.58E-05,5.58
Nebraska,2011,113,1842383,6.13E-05,6.13
Nebraska,2012,132,1855973,7.11E-05,7.11
Nebraska,2013,108,1869300,5.78E-05,5.78
Nebraska,2014,113,1882980,6.00E-05,6.00
Nebraska,2015,124,1896190,6.54E-05,6.54
North Dakota,2000,13,642200,2.02E-05,2.02
North Dakota,2002,14,638168,2.19E-05,2.19
North Dakota,2003,16,638817,2.50E-05,2.50
North Dakota,2004,20,644705,3.10E-05,3.10
North Dakota,2005,13,646089,2.01E-05,2.01
North Dakota,2006,10,649422,1.54E-05,1.54
North Dakota,2007,28,652822,4.29E-05,4.29
North Dakota,2008,46,657569,7.00E-05,7.00
North Dakota,2009,38,664968,5.71E-05,5.71
North Dakota,2010,26,672591,3.87E-05,3.87
North Dakota,2011,17,685326,2.48E-05,2.48
North Dakota,2012,20,702265,2.85E-05,2.85
North Dakota,2013,19,723626,2.63E-05,2.63
North Dakota,2014,48,740040,6.49E-05,6.49
North Dakota,2015,62,756927,8.19E-05,8.19
South Dakota,1999,14,750412,1.87E-05,1.87
South Dakota,2000,11,754844,1.46E-05,1.46
South Dakota,2002,17,760020,2.24E-05,2.24
South Dakota,2003,15,763729,1.96E-05,1.96
South Dakota,2004,32,770396,4.15E-05,4.15
South Dakota,2005,24,775493,3.09E-05,3.09
South Dakota,2006,29,783033,3.70E-05,3.70
South Dakota,2007,24,791623,3.03E-05,3.03
South Dakota,2008,41,799124,5.13E-05,5.13
South Dakota,2009,35,807067,4.34E-05,4.34
South Dakota,2010,31,814180,3.81E-05,3.81
South Dakota,2011,54,824289,6.55E-05,6.55
South Dakota,2012,43,834631,5.15E-05,5.15
South Dakota,2013,48,845270,5.68E-05,5.68
South Dakota,2014,57,853304,6.68E-05,6.68
South Dakota,2015,57,858469,6.64E-05,6.64
Delaware,1999,47,774990,6.06E-05,6.06
Delaware,2000,44,783600,5.62E-05,5.62
Delaware,2001,41,795699,5.15E-05,5.15
Delaware,2002,68,806169,8.43E-05,8.43
Delaware,2003,61,818003,7.46E-05,7.46
Delaware,2004,44,830803,5.30E-05,5.30
Delaware,2005,50,845150,5.92E-05,5.92
Delaware,2006,64,859268,7.45E-05,7.45
Delaware,2007,73,871749,8.37E-05,8.37
Delaware,2008,110,883874,0.000124452,12.45
Delaware,2009,108,891730,0.000121113,12.11
Delaware,2010,125,897934,0.000139208,13.92
Delaware,2011,128,907916,0.000140982,14.10
Delaware,2012,121,917099,0.000131938,13.19
Delaware,2013,150,925353,0.0001621,16.21
Delaware,2014,155,935968,0.000165604,16.56
Delaware,2015,177,945934,0.000187117,18.71
District of Columbia,1999,50,570213,8.77E-05,8.77
District of Columbia,2000,71,572059,0.000124113,12.41
District of Columbia,2001,88,574504,0.000153176,15.32
District of Columbia,2002,57,573158,9.94E-05,9.94
District of Columbia,2003,90,568502,0.000158311,15.83
District of Columbia,2004,73,567754,0.000128577,12.86
District of Columbia,2005,56,567136,9.87E-05,9.87
District of Columbia,2006,87,570681,0.000152449,15.24
District of Columbia,2007,38,574404,6.62E-05,6.62
District of Columbia,2008,44,580236,7.58E-05,7.58
District of Columbia,2009,17,592228,2.87E-05,2.87
District of Columbia,2010,72,601723,0.000119656,11.97
District of Columbia,2011,70,620472,0.000112817,11.28
District of Columbia,2012,66,635342,0.000103881,10.39
District of Columbia,2013,83,649540,0.000127783,12.78
District of Columbia,2014,91,659836,0.000137913,13.79
District of Columbia,2015,128,672228,0.000190412,19.04
Florida,1999,728,15759421,4.62E-05,4.62
Florida,2000,860,15982378,5.38E-05,5.38
Florida,2001,1347,16356966,8.24E-05,8.24
Florida,2002,1534,16689370,9.19E-05,9.19
Florida,2003,1734,17004085,0.000101975,10.20
Florida,2004,1851,17415318,0.000106286,10.63
Florida,2005,1999,17842038,0.000112039,11.20
Florida,2006,2163,18166990,0.000119062,11.91
Florida,2007,2446,18367842,0.000133168,13.32
Florida,2008,2571,18527305,0.000138768,13.88
Florida,2009,2651,18652644,0.000142125,14.21
Florida,2010,2693,18801310,0.000143235,14.32
Florida,2011,2562,19105533,0.000134097,13.41
Florida,2012,2215,19352021,0.000114458,11.45
Florida,2013,2134,19594467,0.000108908,10.89
Florida,2014,2342,19905569,0.000117656,11.77
Florida,2015,2938,20271272,0.000144934,14.49
Georgia,1999,256,8045965,3.18E-05,3.18
Georgia,2000,301,8186453,3.68E-05,3.68
Georgia,2001,437,8377038,5.22E-05,5.22
Georgia,2002,493,8508256,5.79E-05,5.79
Georgia,2003,537,8622793,6.23E-05,6.23
Georgia,2004,584,8769252,6.66E-05,6.66
Georgia,2005,666,8925922,7.46E-05,7.46
Georgia,2006,748,9155813,8.17E-05,8.17
Georgia,2007,857,9349988,9.17E-05,9.17
Georgia,2008,860,9504843,9.05E-05,9.05
Georgia,2009,944,9620846,9.81E-05,9.81
Georgia,2010,974,9687653,0.00010054,10.05
Georgia,2011,1000,9812280,0.000101913,10.19
Georgia,2012,986,9917639,9.94E-05,9.94
Georgia,2013,1011,9991562,0.000101185,10.12
Georgia,2014,1097,10097132,0.000108645,10.86
Georgia,2015,1222,10214860,0.00011963,11.96
Maryland,1999,43,5254509,8.18E-06,0.82
Maryland,2000,52,5296486,9.82E-06,0.98
Maryland,2001,62,5374691,1.15E-05,1.15
Maryland,2002,47,5440389,8.64E-06,0.86
Maryland,2003,88,5496269,1.60E-05,1.60
Maryland,2004,41,5546935,7.39E-06,0.74
Maryland,2005,54,5592379,9.66E-06,0.97
Maryland,2006,53,5627367,9.42E-06,0.94
Maryland,2007,49,5653408,8.67E-06,0.87
Maryland,2008,73,5684965,1.28E-05,1.28
Maryland,2009,88,5730388,1.54E-05,1.54
Maryland,2010,121,5773552,2.10E-05,2.10
Maryland,2011,167,5844171,2.86E-05,2.86
Maryland,2012,234,5890740,3.97E-05,3.97
Maryland,2013,293,5936040,4.94E-05,4.94
Maryland,2014,281,5975346,4.70E-05,4.70
Maryland,2015,397,6006401,6.61E-05,6.61
North Carolina,1999,283,7949361,3.56E-05,3.56
North Carolina,2000,381,8049313,4.73E-05,4.73
North Carolina,2001,450,8210122,5.48E-05,5.48
North Carolina,2002,560,8326201,6.73E-05,6.73
North Carolina,2003,698,8422501,8.29E-05,8.29
North Carolina,2004,733,8553152,8.57E-05,8.57
North Carolina,2005,877,8705407,0.000100742,10.07
North Carolina,2006,914,8917270,0.000102498,10.25
North Carolina,2007,914,9118037,0.000100241,10.02
North Carolina,2008,1034,9309449,0.00011107,11.11
North Carolina,2009,1060,9449566,0.000112174,11.22
North Carolina,2010,965,9535483,0.000101201,10.12
North Carolina,2011,1177,9651025,0.000121956,12.20
North Carolina,2012,1136,9747021,0.000116548,11.65
North Carolina,2013,1129,9845432,0.000114672,11.47
North Carolina,2014,1229,9940387,0.000123637,12.36
North Carolina,2015,1432,10042802,0.00014259,14.26
South Carolina,1999,129,3974682,3.25E-05,3.25
South Carolina,2000,207,4012012,5.16E-05,5.16
South Carolina,2001,213,4064995,5.24E-05,5.24
South Carolina,2002,204,4107795,4.97E-05,4.97
South Carolina,2003,265,4150297,6.39E-05,6.39
South Carolina,2004,320,4210921,7.60E-05,7.60
South Carolina,2005,401,4270150,9.39E-05,9.39
South Carolina,2006,493,4357847,0.000113129,11.31
South Carolina,2007,481,4444110,0.000108233,10.82
South Carolina,2008,514,4528996,0.000113491,11.35
South Carolina,2009,579,4589872,0.000126147,12.61
South Carolina,2010,613,4625364,0.00013253,13.25
South Carolina,2011,565,4672733,0.000120914,12.09
South Carolina,2012,532,4721341,0.00011268,11.27
South Carolina,2013,583,4768498,0.000122261,12.23
South Carolina,2014,654,4829160,0.000135427,13.54
South Carolina,2015,713,4896146,0.000145625,14.56
Virginia,1999,280,7000174,4.00E-05,4.00
Virginia,2000,312,7078515,4.41E-05,4.41
Virginia,2001,343,7198362,4.76E-05,4.76
Virginia,2002,442,7286873,6.07E-05,6.07
Virginia,2003,469,7366977,6.37E-05,6.37
Virginia,2004,478,7475575,6.39E-05,6.39
Virginia,2005,485,7577105,6.40E-05,6.40
Virginia,2006,508,7673725,6.62E-05,6.62
Virginia,2007,562,7751000,7.25E-05,7.25
Virginia,2008,615,7833496,7.85E-05,7.85
Virginia,2009,575,7925937,7.25E-05,7.25
Virginia,2010,483,8001024,6.04E-05,6.04
Virginia,2011,679,8110783,8.37E-05,8.37
Virginia,2012,619,8193374,7.55E-05,7.55
Virginia,2013,742,8267875,8.97E-05,8.97
Virginia,2014,824,8328098,9.89E-05,9.89
Virginia,2015,945,8382993,0.000112728,11.27
West Virginia,1999,46,1811799,2.54E-05,2.54
West Virginia,2000,61,1808344,3.37E-05,3.37
West Virginia,2001,130,1801481,7.22E-05,7.22
West Virginia,2002,156,1805414,8.64E-05,8.64
West Virginia,2003,238,1812295,0.000131325,13.13
West Virginia,2004,287,1816438,0.000158002,15.80
West Virginia,2005,163,1820492,8.95E-05,8.95
West Virginia,2006,316,1827912,0.000172875,17.29
West Virginia,2007,360,1834052,0.000196287,19.63
West Virginia,2008,418,1840310,0.000227136,22.71
West Virginia,2009,198,1847775,0.000107156,10.72
West Virginia,2010,471,1852994,0.000254183,25.42
West Virginia,2011,593,1854948,0.000319686,31.97
West Virginia,2012,521,1856283,0.000280668,28.07
West Virginia,2013,548,1852985,0.000295739,29.57
West Virginia,2014,593,1848751,0.000320757,32.08
West Virginia,2015,675,1844128,0.000366027,36.60
Alabama,1999,145,4430141,3.27E-05,3.27
Alabama,2000,160,4447100,3.60E-05,3.60
Alabama,2001,201,4467634,4.50E-05,4.50
Alabama,2002,209,4480089,4.67E-05,4.67
Alabama,2003,166,4503491,3.69E-05,3.69
Alabama,2004,241,4530729,5.32E-05,5.32
Alabama,2005,238,4569805,5.21E-05,5.21
Alabama,2006,328,4628981,7.09E-05,7.09
Alabama,2007,471,4672840,0.000100795,10.08
Alabama,2008,536,4718206,0.000113603,11.36
Alabama,2009,573,4757938,0.00012043,12.04
Alabama,2010,512,4779736,0.000107119,10.71
Alabama,2011,531,4801108,0.000110599,11.06
Alabama,2012,509,4816089,0.000105687,10.57
Alabama,2013,561,4830533,0.000116136,11.61
Alabama,2014,678,4846411,0.000139897,13.99
Alabama,2015,701,4858979,0.000144269,14.43
Kentucky,1999,174,4018053,4.33E-05,4.33
Kentucky,2000,219,4041769,5.42E-05,5.42
Kentucky,2001,300,4068132,7.37E-05,7.37
Kentucky,2002,371,4089875,9.07E-05,9.07
Kentucky,2003,507,4117170,0.000123143,12.31
Kentucky,2004,471,4146101,0.000113601,11.36
Kentucky,2005,558,4182742,0.000133405,13.34
Kentucky,2006,626,4219239,0.000148368,14.84
Kentucky,2007,640,4256672,0.000150352,15.04
Kentucky,2008,706,4289878,0.000164573,16.46
Kentucky,2009,731,4317074,0.000169328,16.93
Kentucky,2010,950,4339367,0.000218926,21.89
Kentucky,2011,1023,4367882,0.00023421,23.42
Kentucky,2012,1017,4382667,0.00023205,23.21
Kentucky,2013,921,4398500,0.00020939,20.94
Kentucky,2014,1038,4412617,0.000235235,23.52
Kentucky,2015,1200,4425092,0.000271181,27.12
Mississippi,1999,64,2828408,2.26E-05,2.26
Mississippi,2000,82,2844658,2.88E-05,2.88
Mississippi,2001,119,2852994,4.17E-05,4.17
Mississippi,2002,133,2858681,4.65E-05,4.65
Mississippi,2003,175,2868312,6.10E-05,6.10
Mississippi,2004,190,2889010,6.58E-05,6.58
Mississippi,2005,202,2905943,6.95E-05,6.95
Mississippi,2006,278,2904978,9.57E-05,9.57
Mississippi,2007,281,2928350,9.60E-05,9.60
Mississippi,2008,271,2947806,9.19E-05,9.19
Mississippi,2009,279,2958774,9.43E-05,9.43
Mississippi,2010,278,2967297,9.37E-05,9.37
Mississippi,2011,275,2977999,9.23E-05,9.23
Mississippi,2012,294,2985660,9.85E-05,9.85
Mississippi,2013,294,2990976,9.83E-05,9.83
Mississippi,2014,330,2993443,0.000110241,11.02
