County,County Code,Year,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate
"Athens County, OH",39009,2003,Black or African American,2054-5,14,1885,742.7 (Unreliable),1330.5 (Unreliable)
"Athens County, OH",39009,2003,White,2106-3,449,60195,745.9,959.2
"Athens County, OH",39009,2004,White,2106-3,399,59529,670.3,854.6
"Athens County, OH",39009,2005,White,2106-3,413,60272,685.2,854.9
"Athens County, OH",39009,2006,Black or African American,2054-5,11,1985,554.2 (Unreliable),1480.9 (Unreliable)
"Athens County, OH",39009,2006,White,2106-3,463,60306,767.8,956.3
"Athens County, OH",39009,2007,Black or African American,2054-5,10,2009,497.8 (Unreliable),1344.2 (Unreliable)
"Athens County, OH",39009,2007,White,2106-3,462,60084,768.9,937.6
"Athens County, OH",39009,2008,White,2106-3,461,60367,763.7,929.7
"Athens County, OH",39009,2009,White,2106-3,452,60377,748.6,881
"Athens County, OH",39009,2010,White,2106-3,502,60444,830.5,985.4
"Auglaize County, OH",39011,2000,White,2106-3,445,46104,965.2,831.1
"Auglaize County, OH",39011,2001,White,2106-3,469,45652,1027.3,865.7
"Auglaize County, OH",39011,2002,White,2106-3,465,45451,1023.1,847.9
"Auglaize County, OH",39011,2003,White,2106-3,450,45378,991.7,816.1
"Auglaize County, OH",39011,2004,White,2106-3,414,45412,911.7,732
"Auglaize County, OH",39011,2005,White,2106-3,447,45633,979.6,780.7
"Auglaize County, OH",39011,2006,White,2106-3,490,45464,1077.8,843.3
"Auglaize County, OH",39011,2007,White,2106-3,510,45415,1123,878.2
"Auglaize County, OH",39011,2008,White,2106-3,465,45607,1019.6,786.1
"Auglaize County, OH",39011,2009,White,2106-3,471,45430,1036.8,804.9
"Auglaize County, OH",39011,2010,White,2106-3,474,45378,1044.6,795.6
"Belmont County, OH",39013,2000,Black or African American,2054-5,20,2751,727,1254.7
"Belmont County, OH",39013,2000,White,2106-3,896,67113,1335.1,958.7
"Belmont County, OH",39013,2001,Black or African American,2054-5,18,2848,632.0 (Unreliable),1167.5 (Unreliable)
"Belmont County, OH",39013,2001,White,2106-3,896,66698,1343.4,959.3
"Belmont County, OH",39013,2002,Black or African American,2054-5,21,2879,729.4,1277.4
"Belmont County, OH",39013,2002,White,2106-3,870,67058,1297.4,912.9
"Belmont County, OH",39013,2003,Black or African American,2054-5,19,2900,655.2 (Unreliable),1094.8 (Unreliable)
"Belmont County, OH",39013,2003,White,2106-3,958,66959,1430.7,994.3
