County,County Code,Year,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate
"Delaware County, OH",39041,2004,Black or African American,2054-5,18,5053,356.2 (Unreliable),728.5 (Unreliable)
"Delaware County, OH",39041,2004,White,2106-3,684,131096,521.8,737.9
"Delaware County, OH",39041,2005,Black or African American,2054-5,14,5420,258.3 (Unreliable),666.3 (Unreliable)
"Delaware County, OH",39041,2005,White,2106-3,660,137878,478.7,671.7
"Delaware County, OH",39041,2006,Black or African American,2054-5,18,5789,310.9 (Unreliable),597.9 (Unreliable)
"Delaware County, OH",39041,2006,White,2106-3,755,143888,524.7,707.7
"Delaware County, OH",39041,2007,White,2106-3,742,148686,499,666.3
"Delaware County, OH",39041,2008,Black or African American,2054-5,19,6346,299.4 (Unreliable),777.9 (Unreliable)
"Delaware County, OH",39041,2008,White,2106-3,750,152788,490.9,629.1
"Delaware County, OH",39041,2009,Black or African American,2054-5,27,6520,414.1,725.4
"Delaware County, OH",39041,2009,White,2106-3,836,156098,535.6,677.6
"Delaware County, OH",39041,2010,Black or African American,2054-5,16,6644,240.8 (Unreliable),490.1 (Unreliable)
"Delaware County, OH",39041,2010,White,2106-3,836,159083,525.5,665
"Erie County, OH",39043,2000,Black or African American,2054-5,52,7449,698.1,929.2
"Erie County, OH",39043,2000,White,2106-3,756,71532,1056.9,856
"Erie County, OH",39043,2001,Black or African American,2054-5,63,7483,841.9,1116.3
"Erie County, OH",39043,2001,White,2106-3,803,71221,1127.5,901
"Erie County, OH",39043,2002,Black or African American,2054-5,64,7468,857,1102.9
"Erie County, OH",39043,2002,White,2106-3,763,70650,1080,842
"Erie County, OH",39043,2003,Black or African American,2054-5,64,7451,858.9,1081
"Erie County, OH",39043,2003,White,2106-3,753,70574,1067,822.4
"Erie County, OH",39043,2004,Black or African American,2054-5,56,7420,754.7,925.4
"Erie County, OH",39043,2004,White,2106-3,770,70484,1092.4,828.4
"Erie County, OH",39043,2005,Black or African American,2054-5,69,7459,925.1,1137.9
"Erie County, OH",39043,2005,White,2106-3,791,69875,1132,851.9
"Erie County, OH",39043,2006,Black or African American,2054-5,75,7525,996.7,1183.6
"Erie County, OH",39043,2006,White,2106-3,734,69578,1054.9,760.4
"Erie County, OH",39043,2007,Black or African American,2054-5,69,7659,900.9,1092.3
"Erie County, OH",39043,2007,White,2106-3,789,69199,1140.2,818.7
"Erie County, OH",39043,2008,Black or African American,2054-5,63,7720,816.1,941.9
"Erie County, OH",39043,2008,White,2106-3,851,69039,1232.6,876.2
"Erie County, OH",39043,2009,Black or African American,2054-5,63,7804,807.3,980
"Erie County, OH",39043,2009,White,2106-3,784,68442,1145.5,784.4
"Erie County, OH",39043,2010,Black or African American,2054-5,65,7748,838.9,999.6
"Erie County, OH",39043,2010,White,2106-3,826,68469,1206.4,827.3
"Fairfield County, OH",39045,2000,White,2106-3,1042,117864,884.1,972.7
"Fairfield County, OH",39045,2001,Black or African American,2054-5,18,4600,391.3 (Unreliable),1232.0 (Unreliable)
"Fairfield County, OH",39045,2001,White,2106-3,990,120148,824,890.1
"Fairfield County, OH",39045,2002,Black or African American,2054-5,10,5628,177.7 (Unreliable),466.5 (Unreliable)
"Fairfield County, OH",39045,2002,White,2106-3,984,122110,805.8,865.5
"Fairfield County, OH",39045,2003,Black or African American,2054-5,13,6521,199.4 (Unreliable),607.7 (Unreliable)
"Fairfield County, OH",39045,2003,White,2106-3,1039,124464,834.8,889.8
"Fairfield County, OH",39045,2004,Black or African American,2054-5,13,7631,170.4 (Unreliable),480.8 (Unreliable)
"Fairfield County, OH",39045,2004,White,2106-3,1067,126541,843.2,899.3
"Fairfield County, OH",39045,2005,Black or African American,2054-5,12,8146,147.3 (Unreliable),412.0 (Unreliable)
"Fairfield County, OH",39045,2005,White,2106-3,1049,128622,815.6,871.3
"Fairfield County, OH",39045,2006,Black or African American,2054-5,13,8402,154.7 (Unreliable),434.2 (Unreliable)
"Fairfield County, OH",39045,2006,White,2106-3,1043,130502,799.2,838
"Fairfield County, OH",39045,2007,Black or African American,2054-5,21,8858,237.1,559.8
"Fairfield County, OH",39045,2007,White,2106-3,1043,131877,790.9,804.5
"Fairfield County, OH",39045,2008,Black or African American,2054-5,21,9022,232.8,638.8
"Fairfield County, OH",39045,2008,White,2106-3,1136,132781,855.5,858.8
"Fairfield County, OH",39045,2009,Black or African American,2054-5,14,9385,149.2 (Unreliable),463.1 (Unreliable)
"Fairfield County, OH",39045,2009,White,2106-3,1106,133702,827.2,818
"Fairfield County, OH",39045,2010,Black or African American,2054-5,22,9571,229.9,691.2
"Fairfield County, OH",39045,2010,White,2106-3,1078,134148,803.6,777.2
"Fayette County, OH",39047,2000,White,2106-3,334,27504,1214.4,1094.8
"Fayette County, OH",39047,2001,Black or African American,2054-5,12,734,1634.9 (Unreliable),1514.6 (Unreliable)
"Fayette County, OH",39047,2001,White,2106-3,309,27364,1129.2,1014.6
"Fayette County, OH",39047,2002,Black or African American,2054-5,17,767,2216.4 (Unreliable),2352.9 (Unreliable)
"Fayette County, OH",39047,2002,White,2106-3,334,27384,1219.7,1078.9
"Fayette County, OH",39047,2003,Black or African American,2054-5,20,762,2624.7,2816.5
"Fayette County, OH",39047,2003,White,2106-3,331,27466,1205.1,1062
"Fayette County, OH",39047,2004,Black or African American,2054-5,14,765,1830.1 (Unreliable),1950.9 (Unreliable)
"Fayette County, OH",39047,2004,White,2106-3,296,27484,1077,973.1
"Fayette County, OH",39047,2005,Black or African American,2054-5,12,761,1576.9 (Unreliable),1770.6 (Unreliable)
"Fayette County, OH",39047,2005,White,2106-3,324,27685,1170.3,1034.6
"Fayette County, OH",39047,2006,Black or African American,2054-5,15,781,1920.6 (Unreliable),2218.9 (Unreliable)
"Fayette County, OH",39047,2006,White,2106-3,313,27774,1127,1007.1
"Fayette County, OH",39047,2007,White,2106-3,314,27848,1127.5,985
"Fayette County, OH",39047,2008,Black or African American,2054-5,14,844,1658.8 (Unreliable),2098.4 (Unreliable)
"Fayette County, OH",39047,2008,White,2106-3,334,27808,1201.1,1036.6
"Fayette County, OH",39047,2009,Black or African American,2054-5,13,853,1524.0 (Unreliable),1685.7 (Unreliable)
"Fayette County, OH",39047,2009,White,2106-3,279,27811,1003.2,861.8
"Fayette County, OH",39047,2010,White,2106-3,327,27921,1171.2,983.5
"Franklin County, OH",39049,2000,Black or African American,2054-5,1476,201802,731.4,1196.3
"Franklin County, OH",39049,2000,White,2106-3,6567,827120,794,921.2
"Franklin County, OH",39049,2001,Black or African American,2054-5,1482,210222,705,1145.2
"Franklin County, OH",39049,2001,White,2106-3,6637,830523,799.1,922.8
"Franklin County, OH",39049,2002,Black or African American,2054-5,1592,217110,733.3,1195.9
"Franklin County, OH",39049,2002,White,2106-3,6738,827827,813.9,928
"Franklin County, OH",39049,2003,Black or African American,2054-5,1565,223322,700.8,1127.2
"Franklin County, OH",39049,2003,White,2106-3,6778,826199,820.4,919.4
"Franklin County, OH",39049,2004,Black or African American,2054-5,1633,229235,712.4,1140
"Franklin County, OH",39049,2004,White,2106-3,6585,823663,799.5,886.9
"Franklin County, OH",39049,2005,Black or African American,2054-5,1623,234764,691.3,1074.3
"Franklin County, OH",39049,2005,White,2106-3,6823,822269,829.8,908.4
"Franklin County, OH",39049,2006,Black or African American,2054-5,1636,241124,678.5,1031.4
"Franklin County, OH",39049,2006,White,2106-3,6613,824734,801.8,864.3
"Franklin County, OH",39049,2007,Black or African American,2054-5,1634,247242,660.9,1014.3
"Franklin County, OH",39049,2007,White,2106-3,6526,828580,787.6,834.4
"Franklin County, OH",39049,2008,Black or African American,2054-5,1669,253756,657.7,986.3
"Franklin County, OH",39049,2008,White,2106-3,6799,834211,815,851.7
"Franklin County, OH",39049,2009,Black or African American,2054-5,1743,259910,670.6,1012.2
"Franklin County, OH",39049,2009,White,2106-3,6633,841048,788.7,821.4
"Franklin County, OH",39049,2010,Black or African American,2054-5,1666,263802,631.5,933.3
"Franklin County, OH",39049,2010,White,2106-3,6773,844017,802.5,831.6
"Fulton County, OH",39051,2000,White,2106-3,372,41560,895.1,865.5
"Fulton County, OH",39051,2001,White,2106-3,362,41617,869.8,841
"Fulton County, OH",39051,2002,White,2106-3,354,41708,848.8,811.4
"Fulton County, OH",39051,2003,White,2106-3,355,41822,848.8,791.2
"Fulton County, OH",39051,2004,White,2106-3,357,42174,846.5,786.9
"Fulton County, OH",39051,2005,White,2106-3,334,42276,790,732.6
"Fulton County, OH",39051,2006,White,2106-3,391,42153,927.6,825.4
"Fulton County, OH",39051,2007,White,2106-3,373,42163,884.7,781.8
"Fulton County, OH",39051,2008,White,2106-3,390,42141,925.5,791
"Fulton County, OH",39051,2009,White,2106-3,377,42078,896,757.9
"Fulton County, OH",39051,2010,White,2106-3,398,42016,947.3,795.3
"Gallia County, OH",39053,2000,Black or African American,2054-5,11,943,1166.5 (Unreliable),1136.8 (Unreliable)
"Gallia County, OH",39053,2000,White,2106-3,315,29853,1055.2,1009
"Gallia County, OH",39053,2001,Black or African American,2054-5,14,974,1437.4 (Unreliable),1336.0 (Unreliable)
"Gallia County, OH",39053,2001,White,2106-3,308,29772,1034.5,983.3
"Gallia County, OH",39053,2002,White,2106-3,345,29832,1156.5,1080.1
"Gallia County, OH",39053,2003,Black or African American,2054-5,11,1006,1093.4 (Unreliable),1090.8 (Unreliable)
"Gallia County, OH",39053,2003,White,2106-3,303,29818,1016.2,950.8
"Gallia County, OH",39053,2004,Black or African American,2054-5,14,1007,1390.3 (Unreliable),1247.3 (Unreliable)
"Gallia County, OH",39053,2004,White,2106-3,328,29742,1102.8,1023.3
"Gallia County, OH",39053,2005,Black or African American,2054-5,14,972,1440.3 (Unreliable),1387.0 (Unreliable)
"Gallia County, OH",39053,2005,White,2106-3,329,29744,1106.1,1012.9
"Gallia County, OH",39053,2006,Black or African American,2054-5,10,980,1020.4 (Unreliable),941.3 (Unreliable)
"Gallia County, OH",39053,2006,White,2106-3,327,29668,1102.2,1003.4
"Gallia County, OH",39053,2007,Black or African American,2054-5,10,997,1003.0 (Unreliable),984.4 (Unreliable)
"Gallia County, OH",39053,2007,White,2106-3,327,29700,1101,962
"Gallia County, OH",39053,2008,Black or African American,2054-5,12,1032,1162.8 (Unreliable),1344.5 (Unreliable)
"Gallia County, OH",39053,2008,White,2106-3,309,29684,1041,894.9
"Gallia County, OH",39053,2009,White,2106-3,327,29553,1106.5,938.6
"Gallia County, OH",39053,2010,Black or African American,2054-5,14,1010,1386.1 (Unreliable),1552.2 (Unreliable)
"Gallia County, OH",39053,2010,White,2106-3,328,29622,1107.3,940.1
"Geauga County, OH",39055,2000,White,2106-3,619,89101,694.7,720.7
"Geauga County, OH",39055,2001,White,2106-3,680,89587,759,768
"Geauga County, OH",39055,2002,Black or African American,2054-5,12,1264,949.4 (Unreliable),1215.3 (Unreliable)
"Geauga County, OH",39055,2002,White,2106-3,690,90082,766,758.4
"Geauga County, OH",39055,2003,Black or African American,2054-5,10,1342,745.2 (Unreliable),803.7 (Unreliable)
"Geauga County, OH",39055,2003,White,2106-3,658,91051,722.7,701.7
"Geauga County, OH",39055,2004,White,2106-3,694,91172,761.2,723.4
"Geauga County, OH",39055,2005,Black or African American,2054-5,11,1366,805.3 (Unreliable),974.2 (Unreliable)
"Geauga County, OH",39055,2005,White,2106-3,687,91567,750.3,696.6
"Geauga County, OH",39055,2006,Black or African American,2054-5,11,1403,784.0 (Unreliable),848.9 (Unreliable)
"Geauga County, OH",39055,2006,White,2106-3,671,91740,731.4,667
"Geauga County, OH",39055,2007,Black or African American,2054-5,11,1419,775.2 (Unreliable),771.4 (Unreliable)
"Geauga County, OH",39055,2007,White,2106-3,689,91585,752.3,659.9
"Geauga County, OH",39055,2008,Black or African American,2054-5,19,1383,1373.8 (Unreliable),1495.6 (Unreliable)
"Geauga County, OH",39055,2008,White,2106-3,696,91444,761.1,646.4
"Geauga County, OH",39055,2009,White,2106-3,682,91272,747.2,613.2
"Geauga County, OH",39055,2010,White,2106-3,740,91250,811,650.3
"Greene County, OH",39057,2000,Black or African American,2054-5,68,10190,667.3,1091.6
"Greene County, OH",39057,2000,White,2106-3,1107,133828,827.2,883.2
"Greene County, OH",39057,2001,Black or African American,2054-5,57,10650,535.2,922.9
"Greene County, OH",39057,2001,White,2106-3,992,134886,735.4,761
"Greene County, OH",39057,2002,Black or African American,2054-5,79,11066,713.9,1305.8
"Greene County, OH",39057,2002,White,2106-3,1125,136234,825.8,837
"Greene County, OH",39057,2003,Black or African American,2054-5,68,11160,609.3,1099
"Greene County, OH",39057,2003,White,2106-3,1113,137393,810.1,812.8
"Greene County, OH",39057,2004,Black or African American,2054-5,73,11558,631.6,1092.3
"Greene County, OH",39057,2004,White,2106-3,1074,139058,772.3,758.4
"Greene County, OH",39057,2005,Black or African American,2054-5,61,11767,518.4,892.2
"Greene County, OH",39057,2005,White,2106-3,1186,139382,850.9,815.7
"Greene County, OH",39057,2006,Black or African American,2054-5,64,11983,534.1,880.9
"Greene County, OH",39057,2006,White,2106-3,1074,140592,763.9,709.7
"Greene County, OH",39057,2007,Black or African American,2054-5,56,12260,456.8,739.1
"Greene County, OH",39057,2007,White,2106-3,1104,141341,781.1,708.5
"Greene County, OH",39057,2008,Black or African American,2054-5,78,12506,623.7,974.3
"Greene County, OH",39057,2008,White,2106-3,1180,142022,830.9,742
"Greene County, OH",39057,2009,Black or African American,2054-5,61,12944,471.3,721.9
"Greene County, OH",39057,2009,White,2106-3,1201,142390,843.5,744.8
"Greene County, OH",39057,2010,Black or African American,2054-5,64,13068,489.7,765.3
"Greene County, OH",39057,2010,White,2106-3,1180,142577,827.6,721.3
"Guernsey County, OH",39059,2000,Black or African American,2054-5,10,781,1280.4 (Unreliable),1890.9 (Unreliable)
"Guernsey County, OH",39059,2000,White,2106-3,406,39703,1022.6,915.7
"Guernsey County, OH",39059,2001,White,2106-3,403,39743,1014,906
"Guernsey County, OH",39059,2002,White,2106-3,460,39875,1153.6,1017.9
"Guernsey County, OH",39059,2003,White,2106-3,422,39997,1055.1,916.3
"Guernsey County, OH",39059,2004,White,2106-3,423,39812,1062.5,946
"Guernsey County, OH",39059,2005,White,2106-3,440,39600,1111.1,976.8
"Guernsey County, OH",39059,2006,White,2106-3,437,39445,1107.9,950.2
"Guernsey County, OH",39059,2007,Black or African American,2054-5,10,892,1121.1 (Unreliable),1674.5 (Unreliable)
"Guernsey County, OH",39059,2007,White,2106-3,398,39348,1011.5,844.9
"Guernsey County, OH",39059,2008,White,2106-3,428,39159,1093,907.9
"Guernsey County, OH",39059,2009,White,2106-3,426,39057,1090.7,906
"Guernsey County, OH",39059,2010,Black or African American,2054-5,11,882,1247.2 (Unreliable),1752.2 (Unreliable)
"Guernsey County, OH",39059,2010,White,2106-3,438,38917,1125.5,899.1
"Hamilton County, OH",39061,2000,Black or African American,2054-5,1833,202833,903.7,1188.4
"Hamilton County, OH",39061,2000,White,2106-3,6463,625241,1033.7,868.9
"Hamilton County, OH",39061,2001,Black or African American,2054-5,1789,204530,874.7,1150.1
"Hamilton County, OH",39061,2001,White,2106-3,6497,618027,1051.2,882.6
"Hamilton County, OH",39061,2002,Black or African American,2054-5,1861,205562,905.3,1189.7
"Hamilton County, OH",39061,2002,White,2106-3,6622,608402,1088.4,906.5
"Hamilton County, OH",39061,2003,Black or African American,2054-5,1813,206217,879.2,1137.6
"Hamilton County, OH",39061,2003,White,2106-3,6234,600178,1038.7,852.8
"Hamilton County, OH",39061,2004,Black or African American,2054-5,1942,206849,938.8,1216.5
"Hamilton County, OH",39061,2004,White,2106-3,5992,591538,1013,825
"Hamilton County, OH",39061,2005,Black or African American,2054-5,1922,207627,925.7,1185
"Hamilton County, OH",39061,2005,White,2106-3,6090,583493,1043.7,845.2
"Hamilton County, OH",39061,2006,Black or African American,2054-5,1810,208959,866.2,1097.5
"Hamilton County, OH",39061,2006,White,2106-3,6364,576244,1104.4,880
"Hamilton County, OH",39061,2007,Black or African American,2054-5,1779,210130,846.6,1056.7
"Hamilton County, OH",39061,2007,White,2106-3,5949,571504,1040.9,823.4
"Hamilton County, OH",39061,2008,Black or African American,2054-5,1780,211250,842.6,1042.6
"Hamilton County, OH",39061,2008,White,2106-3,6015,567929,1059.1,832.7
"Hamilton County, OH",39061,2009,Black or African American,2054-5,1759,213138,825.3,1015.7
"Hamilton County, OH",39061,2009,White,2106-3,5723,567885,1007.8,787.3
"Hamilton County, OH",39061,2010,Black or African American,2054-5,1743,214165,813.9,991.6
"Hamilton County, OH",39061,2010,White,2106-3,5748,566581,1014.5,789
"Hancock County, OH",39063,2000,White,2106-3,606,69243,875.2,803.2
"Hancock County, OH",39063,2001,White,2106-3,618,69789,885.5,804.9
"Hancock County, OH",39063,2002,White,2106-3,568,70316,807.8,730.9
"Hancock County, OH",39063,2003,Black or African American,2054-5,10,1217,821.7 (Unreliable),2621.4 (Unreliable)
"Hancock County, OH",39063,2003,White,2106-3,658,70640,931.5,827.4
"Hancock County, OH",39063,2004,White,2106-3,666,70909,939.2,824.3
"Hancock County, OH",39063,2005,Black or African American,2054-5,10,1339,746.8 (Unreliable),2571.2 (Unreliable)
"Hancock County, OH",39063,2005,White,2106-3,618,70872,872,757.3
"Hancock County, OH",39063,2006,White,2106-3,635,71310,890.5,759.8
"Hancock County, OH",39063,2007,White,2106-3,565,71703,788,667.8
"Hancock County, OH",39063,2008,White,2106-3,665,71640,928.3,768
"Hancock County, OH",39063,2009,White,2106-3,630,71737,878.2,730.5
"Hancock County, OH",39063,2010,White,2106-3,667,71540,932.3,761.9
"Hardin County, OH",39065,2000,White,2106-3,284,31427,903.7,880.7
"Hardin County, OH",39065,2001,White,2106-3,285,31200,913.5,877.7
"Hardin County, OH",39065,2002,White,2106-3,348,31217,1114.8,1080.1
"Hardin County, OH",39065,2003,White,2106-3,304,31146,976,940.4
"Hardin County, OH",39065,2004,White,2106-3,321,31514,1018.6,976.7
"Hardin County, OH",39065,2005,White,2106-3,298,31375,949.8,888.9
"Hardin County, OH",39065,2006,White,2106-3,324,31328,1034.2,976.1
"Hardin County, OH",39065,2007,White,2106-3,296,31510,939.4,879.9
"Hardin County, OH",39065,2008,White,2106-3,314,31560,994.9,936.6
"Hardin County, OH",39065,2009,White,2106-3,305,31510,967.9,907.9
"Hardin County, OH",39065,2010,White,2106-3,317,31381,1010.2,925
"Harrison County, OH",39067,2000,Black or African American,2054-5,13,431,3016.2 (Unreliable),2741.1 (Unreliable)
"Harrison County, OH",39067,2000,White,2106-3,204,15392,1325.4,973.8
"Harrison County, OH",39067,2001,White,2106-3,195,15306,1274,940.7
"Harrison County, OH",39067,2002,White,2106-3,204,15433,1321.8,986.2
"Harrison County, OH",39067,2003,White,2106-3,227,15523,1462.3,1043.4
"Harrison County, OH",39067,2004,White,2106-3,215,15376,1398.3,1026.8
"Harrison County, OH",39067,2005,White,2106-3,187,15434,1211.6,907
"Harrison County, OH",39067,2006,White,2106-3,183,15376,1190.2,894.6
"Harrison County, OH",39067,2007,White,2106-3,198,15405,1285.3,946.2
"Harrison County, OH",39067,2008,Black or African American,2054-5,10,442,2262.4 (Unreliable),2760.4 (Unreliable)
"Harrison County, OH",39067,2008,White,2106-3,205,15354,1335.2,970.5
"Harrison County, OH",39067,2009,White,2106-3,198,15367,1288.5,927.1
"Harrison County, OH",39067,2010,White,2106-3,195,15370,1268.7,917.6
"Henry County, OH",39069,2000,White,2106-3,267,28777,927.8,832.7
"Henry County, OH",39069,2001,White,2106-3,257,28624,897.8,797.5
"Henry County, OH",39069,2002,White,2106-3,283,28686,986.5,862.2
"Henry County, OH",39069,2003,White,2106-3,284,28616,992.5,869.3
"Henry County, OH",39069,2004,White,2106-3,216,28599,755.3,641.5
"Henry County, OH",39069,2005,White,2106-3,267,28616,933,802.8
"Henry County, OH",39069,2006,White,2106-3,237,28601,828.6,696
"Henry County, OH",39069,2007,White,2106-3,287,28235,1016.5,822.7
"Henry County, OH",39069,2008,White,2106-3,264,28101,939.5,765.8
"Henry County, OH",39069,2009,White,2106-3,223,27910,799,630.6
"Henry County, OH",39069,2010,White,2106-3,267,27797,960.5,751.3
"Highland County, OH",39071,2000,White,2106-3,443,39892,1110.5,1046.2
"Highland County, OH",39071,2001,Black or African American,2054-5,10,716,1396.6 (Unreliable),1289.3 (Unreliable)
"Highland County, OH",39071,2001,White,2106-3,480,40315,1190.6,1112
"Highland County, OH",39071,2002,White,2106-3,420,40843,1028.3,954.8
"Highland County, OH",39071,2003,White,2106-3,406,41238,984.5,900.8
"Highland County, OH",39071,2004,White,2106-3,427,41881,1019.6,921.3
"Highland County, OH",39071,2005,Black or African American,2054-5,11,830,1325.3 (Unreliable),1718.1 (Unreliable)
"Highland County, OH",39071,2005,White,2106-3,440,41880,1050.6,955.4
"Highland County, OH",39071,2006,White,2106-3,447,42463,1052.7,938.9
"Highland County, OH",39071,2007,White,2106-3,409,42727,957.2,853.1
"Highland County, OH",39071,2008,White,2106-3,440,42567,1033.7,903.6
"Highland County, OH",39071,2009,White,2106-3,458,42427,1079.5,937.3
"Highland County, OH",39071,2010,White,2106-3,474,42460,1116.3,951.2
"Hocking County, OH",39073,2000,White,2106-3,298,27806,1071.7,1051.4
"Hocking County, OH",39073,2001,White,2106-3,302,28001,1078.5,1059.6
"Hocking County, OH",39073,2002,White,2106-3,296,28209,1049.3,1058.6
"Hocking County, OH",39073,2003,White,2106-3,264,28365,930.7,920.6
"Hocking County, OH",39073,2004,White,2106-3,244,28502,856.1,833.2
"Hocking County, OH",39073,2005,White,2106-3,301,28585,1053,1007.6
"Hocking County, OH",39073,2006,White,2106-3,254,28613,887.7,848.8
"Hocking County, OH",39073,2007,White,2106-3,305,28949,1053.6,989.5
"Hocking County, OH",39073,2008,White,2106-3,298,28967,1028.8,961.6
"Hocking County, OH",39073,2009,White,2106-3,285,28874,987,894.7
"Hocking County, OH",39073,2010,White,2106-3,277,28903,958.4,852.2
"Holmes County, OH",39075,2000,White,2106-3,252,38735,650.6,771.3
"Holmes County, OH",39075,2001,White,2106-3,276,39596,697,809.3
"Holmes County, OH",39075,2002,White,2106-3,274,40262,680.5,784.7
"Holmes County, OH",39075,2003,White,2106-3,285,40629,701.5,803.3
"Holmes County, OH",39075,2004,White,2106-3,273,41147,663.5,771.1
"Holmes County, OH",39075,2005,White,2106-3,256,41367,618.9,694.3
"Holmes County, OH",39075,2006,White,2106-3,279,41560,671.3,733.3
"Holmes County, OH",39075,2007,White,2106-3,256,41556,616,664.7
"Holmes County, OH",39075,2008,White,2106-3,266,41744,637.2,669.3
"Holmes County, OH",39075,2009,White,2106-3,294,41981,700.3,745.3
"Holmes County, OH",39075,2010,White,2106-3,295,42071,701.2,745.5
"Huron County, OH",39077,2000,White,2106-3,533,58447,911.9,952.6
"Huron County, OH",39077,2001,White,2106-3,512,58543,874.6,889.1
"Huron County, OH",39077,2002,White,2106-3,493,58783,838.7,847.1
"Huron County, OH",39077,2003,White,2106-3,538,58792,915.1,911.6
"Huron County, OH",39077,2004,White,2106-3,528,58810,897.8,885.7
"Huron County, OH",39077,2005,White,2106-3,566,58872,961.4,952.4
"Huron County, OH",39077,2006,Black or African American,2054-5,11,919,1197.0 (Unreliable),1652.5 (Unreliable)
"Huron County, OH",39077,2006,White,2106-3,549,58835,933.1,903.2
"Huron County, OH",39077,2007,White,2106-3,515,58821,875.5,833.8
"Huron County, OH",39077,2008,White,2106-3,540,58815,918.1,860.7
"Huron County, OH",39077,2009,White,2106-3,518,58435,886.5,819
"Huron County, OH",39077,2010,White,2106-3,545,58253,935.6,861.8
"Jackson County, OH",39079,2000,White,2106-3,368,32188,1143.3,1084
"Jackson County, OH",39079,2001,White,2106-3,352,32194,1093.4,1032.3
"Jackson County, OH",39079,2002,White,2106-3,345,32357,1066.2,1003.1
"Jackson County, OH",39079,2003,White,2106-3,367,32380,1133.4,1055.3
"Jackson County, OH",39079,2004,White,2106-3,341,32519,1048.6,987
"Jackson County, OH",39079,2005,White,2106-3,399,32717,1219.5,1153.5
"Jackson County, OH",39079,2006,White,2106-3,388,32617,1189.6,1111
"Jackson County, OH",39079,2007,White,2106-3,357,32601,1095.1,1011.2
"Jackson County, OH",39079,2008,White,2106-3,383,32603,1174.7,1065.2
"Jackson County, OH",39079,2009,White,2106-3,348,32558,1068.9,964.1
"Jackson County, OH",39079,2010,White,2106-3,393,32659,1203.3,1078.2
"Jefferson County, OH",39081,2000,Black or African American,2054-5,58,4481,1294.4,1323.3
"Jefferson County, OH",39081,2000,White,2106-3,979,68939,1420.1,1020.2
"Jefferson County, OH",39081,2001,Black or African American,2054-5,66,4396,1501.4,1477.6
"Jefferson County, OH",39081,2001,White,2106-3,959,68175,1406.7,1006.6
"Jefferson County, OH",39081,2002,Black or African American,2054-5,51,4442,1148.1,1117.2
"Jefferson County, OH",39081,2002,White,2106-3,953,67515,1411.5,1006.2
"Jefferson County, OH",39081,2003,Black or African American,2054-5,61,4530,1346.6,1324.3
"Jefferson County, OH",39081,2003,White,2106-3,975,67126,1452.5,1043.2
"Jefferson County, OH",39081,2004,Black or African American,2054-5,59,4487,1314.9,1241.3
"Jefferson County, OH",39081,2004,White,2106-3,848,66838,1268.7,907
"Jefferson County, OH",39081,2005,Black or African American,2054-5,66,4469,1476.8,1481.3
"Jefferson County, OH",39081,2005,White,2106-3,949,66340,1430.5,1014.9
"Jefferson County, OH",39081,2006,Black or African American,2054-5,49,4435,1104.8,1101
"Jefferson County, OH",39081,2006,White,2106-3,903,65785,1372.7,975.5
"Jefferson County, OH",39081,2007,Black or African American,2054-5,66,4426,1491.2,1383.9
"Jefferson County, OH",39081,2007,White,2106-3,942,65227,1444.2,998.4
"Jefferson County, OH",39081,2008,Black or African American,2054-5,48,4452,1078.2,1013.6
"Jefferson County, OH",39081,2008,White,2106-3,918,65100,1410.1,985.3
"Jefferson County, OH",39081,2009,Black or African American,2054-5,56,4425,1265.5,1200.6
"Jefferson County, OH",39081,2009,White,2106-3,901,64973,1386.7,968.8
"Jefferson County, OH",39081,2010,Black or African American,2054-5,49,4433,1105.3,1146.6
"Jefferson County, OH",39081,2010,White,2106-3,871,64807,1344,925.1
"Knox County, OH",39083,2000,White,2106-3,529,53686,985.4,918.1
"Knox County, OH",39083,2001,White,2106-3,512,54539,938.8,864.1
"Knox County, OH",39083,2002,White,2106-3,552,55417,996.1,926.4
"Knox County, OH",39083,2003,White,2106-3,558,56212,992.7,920.1
"Knox County, OH",39083,2004,White,2106-3,564,56925,990.8,914
"Knox County, OH",39083,2005,White,2106-3,574,57572,997,907.2
"Knox County, OH",39083,2006,White,2106-3,542,58071,933.3,831.7
"Knox County, OH",39083,2007,White,2106-3,537,58668,915.3,800.7
"Knox County, OH",39083,2008,White,2106-3,541,59139,914.8,797.9
"Knox County, OH",39083,2009,White,2106-3,579,59396,974.8,838.3
"Knox County, OH",39083,2010,White,2106-3,591,59657,990.7,837.5
"Lake County, OH",39085,2000,Black or African American,2054-5,36,5048,713.2,1083.1
"Lake County, OH",39085,2000,White,2106-3,2003,219798,911.3,836
"Lake County, OH",39085,2001,Black or African American,2054-5,31,5296,585.3,951.3
"Lake County, OH",39085,2001,White,2106-3,2094,219561,953.7,851.6
"Lake County, OH",39085,2002,Black or African American,2054-5,43,5668,758.6,1073.1
"Lake County, OH",39085,2002,White,2106-3,2115,219206,964.8,847.2
"Lake County, OH",39085,2003,Black or African American,2054-5,36,5860,614.3,879.8
"Lake County, OH",39085,2003,White,2106-3,2130,218361,975.4,837.3
"Lake County, OH",39085,2004,Black or African American,2054-5,49,6090,804.6,1217.6
"Lake County, OH",39085,2004,White,2106-3,2045,218658,935.3,786.9
"Lake County, OH",39085,2005,Black or African American,2054-5,38,6552,580,922.6
