County,2001_M,2001_F,2009_M,2009_F,2011_M,2011_F
Delaware,22.8,24.2,33.4,29.4,34.6,30
Fairfield,27.3,27.7,38,39.1,39.2,39.8
Franklin,24.9,28.5,35.1,39,35.8,39.5
Hocking,29.8,29.5,38.1,41.4,39.4,42.3
Licking,28.2,29,37.2,37.8,38.6,38.7
Madison,29.1,30,37.9,38.6,39.2,39.1
Morrow,27.3,30.6,36.8,40.6,38.1,41.6
Perry,29.6,29.9,37.5,42.7,38.8,43.7
Pickaway,29.6,30,40.1,41.8,41.4,42.7
Union,25.8,28.4,39,36.5,40.3,37.3
