state,2014,obese_2014_degree
Arkansas,35.9,3
West Virginia,35.7,3
Mississippi,35.5,3
Louisiana,34.9,3
Alabama,33.5,3
Oklahoma,33,3
Indiana,32.7,3
Ohio,32.6,3
North Dakota,32.2,3
South Carolina,32.1,3
Texas,31.9,3
Kentucky,31.6,3
Kansas,31.3,3
Tennessee,31.2,3
Wisconsin,31.2,3
Iowa,30.9,3
Delaware,30.7,3
Michigan,30.7,3
Georgia,30.5,3
Missouri,30.2,3
Nebraska,30.2,3
Pennsylvania,30.2,3
South Dakota,29.8,3
Alaska,29.7,3
North Carolina,29.7,3
Maryland,29.6,3
Wyoming,29.5,3
Illinois,29.3,3
Arizona,28.9,2
Idaho,28.9,2
Virginia,28.5,2
New Mexico,28.4,2
Maine,28.2,2
Oregon,27.9,2
Nevada,27.7,2
Minnesota,27.6,3
New Hampshire,27.4,2
Washington,27.3,2
New York,27,2
Rhode Island,27,2
New Jersey,26.9,2
Montana,26.4,2
Connecticut,26.3,2
Florida,26.2,2
Utah,25.7,1
Vermont,24.8,1
California,24.7,1
Massachusetts,23.3,1
Hawaii,22.1,0
District of Columbia,21.7,0
Colorado,21.3,0
