state,2008
Mississippi,32.5
Alabama,31.2
West Virginia,31.1
Tennessee,30.2
South Carolina,29.7
Oklahoma,29.5
Kentucky,29
Louisiana,28.9
Michigan,28.8
Arkansas,28.6
Ohio,28.6
North Carolina,28.3
Missouri,28.1
Georgia,27.9
Texas,27.9
Indiana,27.4
Delaware,27.3
Alaska,27.2
Kansas,27.2
Nebraska,26.9
South Dakota,26.9
Iowa,26.7
North Dakota,26.7
Pennsylvania,26.7
Maryland,26
Wisconsin,26
Illinois,25.9
Oregon,25.4
Virginia,25.4
Washington,25.4
Minnesota,25.3
Nevada,25.1
Arizona,24.8
Idaho,24.8
Maine,24.7
New Mexico,24.6
New York,24.5
Wyoming,24.3
Florida,24.1
New Hampshire,24.1
California,23.6
New Jersey,23.4
Montana,22.7
Utah,22.5
District of Columbia,22.3
Vermont,22.1
Hawaii,21.8
Rhode Island,21.7
Connecticut,21.3
Massachusetts,21.2
Colorado,18.9
