state,2007
Mississippi,31.7
West Virginia,30.6
Alabama,30.1
Louisiana,29.5
South Carolina,29.2
Tennessee,29
Kentucky,28.4
Arkansas,28.1
Oklahoma,28.1
Michigan,27.7
Georgia,27.5
Indiana,27.5
Missouri,27.4
Alaska,27.3
Texas,27.2
North Carolina,27.1
Ohio,26.9
Nebraska,26.5
Iowa,26.3
South Dakota,26.1
Delaware,25.9
North Dakota,25.9
Kansas,25.8
Pennsylvania,25.7
Wisconsin,25.5
Illinois,25.3
Maryland,25.2
Virginia,25.2
Oregon,25
Minnesota,24.8
Idaho,24.6
Washington,24.5
Wyoming,24
Maine,23.7
Nevada,23.6
New Hampshire,23.6
New York,23.5
Arizona,23.3
Florida,23.3
New Mexico,23.3
California,23.1
New Jersey,22.9
District of Columbia,22.1
Utah,21.8
Montana,21.7
Rhode Island,21.4
Vermont,21.1
Massachusetts,20.9
Connecticut,20.8
Hawaii,20.7
Colorado,18.4
