state,2006
Mississippi,30.6
West Virginia,29.8
Alabama,29.4
Louisiana,28.2
South Carolina,27.8
Tennessee,27.8
Kentucky,27.5
Arkansas,27
Indiana,26.8
Michigan,26.8
Oklahoma,26.8
Missouri,26.3
Texas,26.3
Georgia,26.1
Ohio,26
Alaska,25.8
North Carolina,25.6
Nebraska,25.4
North Dakota,25.1
Iowa,24.9
South Dakota,24.9
Wisconsin,24.8
Pennsylvania,24.5
Virginia,24.5
Illinois,24.4
Maryland,24.4
Kansas,24.3
Minnesota,23.7
Delaware,23.6
Oregon,23.3
Idaho,23.2
Washington,23.2
Maine,23
Florida,22.9
Wyoming,22.8
California,22.7
Nevada,22.5
New Hampshire,22.4
New York,22.4
District of Columbia,22.2
New Jersey,22.2
New Mexico,22
Arizona,21.7
Utah,21.1
Montana,20.7
Rhode Island,20.5
Connecticut,20.1
Hawaii,20.1
Vermont,20
Massachusetts,19.8
Colorado,17.6
