state,2004
Alabama,27.7
Alaska,23.5
Arizona,20.3
Arkansas,25
California,21.5
Colorado,16.4
Connecticut,18.9
Delaware,22.5
District of Columbia,21.2
Florida,20.7
Georgia,24.5
Hawaii,0
Idaho,20.6
Illinois,22.9
Indiana,25.2
Iowa,23.4
Kansas,22.9
Kentucky,25.3
Louisiana,25.8
Maine,21.3
Maryland,21.7
Massachusetts,17.8
Michigan,25.3
Minnesota,22.6
Mississippi,28.1
Missouri,23.9
Montana,19.1
Nebraska,23.4
Nevada,21.3
New Hampshire,19.9
New Jersey,20.3
New Mexico,20.5
New York,21.2
North Carolina,23.9
North Dakota,23.9
Ohio,24.4
Oklahoma,24.1
Oregon,21
Pennsylvania,24
Rhode Island,18.6
South Carolina,25.1
South Dakota,22.6
Tennessee,25.6
Texas,25.3
Utah,19.6
Vermont,19.1
Virginia,22.9
Washington,21.7
West Virginia,27.6
Wisconsin,21.9
Wyoming,20.1
