County,2010,2010_degree
Allen,37.3,3
Lawrence,37.2,3
Perry,36.7,3
Brown,36.4,3
Jefferson,36.1,3
Crawford,35.9,3
Scioto,35.5,3
Darke,35.1,3
Ottawa,35,3
Ross,34.4,3
Union,34.2,3
Sandusky,33.9,3
Champaign,33.4,3
Jackson,33.4,3
Clark,33.2,3
Meigs,33.2,3
Athens,33.1,3
Henry,33,3
Pickaway,33,3
Highland,32.9,3
Huron,32.8,3
Auglaize,32.7,3
Trumbull,32.5,3
Van Wert,32.5,3
Preble,32.4,3
Marion,32.2,3
Morgan,32.2,3
Washington,32.2,3
Noble,32.1,3
Pike,32.1,3
Shelby,32.1,3
Tuscarawas,32.1,3
Columbiana,32,3
Monroe,32,3
Hocking,31.8,3
Lucas,31.8,3
Stark,31.7,3
Coshocton,31.6,3
Hardin,31.6,3
Knox,31.6,3
Lorain,31.4,3
Fayette,31.3,3
Gallia,31.3,3
Guernsey,31.3,3
Richland,31.2,3
Belmont,31.1,3
Hancock,31,3
Fairfield,30.9,3
Miami,30.9,3
Morrow,30.9,3
Adams,30.7,3
Ashland,30.7,3
Madison,30.7,3
Wayne,30.5,3
Licking,30.4,3
Montgomery,30.4,3
Franklin,30.3,3
Fulton,30.3,3
Vinton,30.3,3
Ashtabula,30,3
Seneca,30,3
Williams,30,3
Harrison,29.9,3
Putnam,29.9,3
Butler,29.8,3
Mahoning,29.8,3
Clinton,29.7,3
Logan,29.7,3
Portage,29.6,3
Wood,29.6,3
Muskingum,29.5,3
Wyandot,29.4,3
Paulding,29.3,3
Summit,29.2,3
Holmes,29.1,3
Mercer,29.1,3
Carroll,28.8,2
Medina,28.6,2
Hamilton,28.4,2
Defiance,28.3,2
Lake,28.3,2
Erie,28,2
Geauga,27.5,2
Cuyahoga,27.2,2
Clermont,26.6,2
Warren,26.2,2
Greene,26,1
Delaware,25.5,1
